TalkTag,Dialogue,bIsLastLine
Bob-Daily01-001,"오, 처음 보는 얼굴이구먼! 여행 온 모양이지?",TRUE
Bob-Daily02-001,흙 냄새가 이렇게 좋은 날은 드물어.,TRUE
Bob-Daily03-001,"허허, 아침부터 허리가 쑤시네. 나이 들면 이게 제일 힘들어.",TRUE
Bob-Daily04-001,"얼굴이 안 좋아 보이는데, 밥은 챙겨 먹었나?",TRUE
Bob-Daily05-001,일단 좀 쉬어가. 땅도 쉴 땐 쉬어야 하는 법이야.,TRUE
Bob-Main01-001,"이봐, 요즘 밤마다 밭 근처에서 이상한 짐승이 돌아다닌다네.",FALSE
Bob-Main01-002,"감자며 당근이 다 파헤쳐져서, 올해 농사는 망할 지경이야…",FALSE
Bob-Main01-003,"내가 보기엔, ‘들쥐괴물’ 녀석들 짓인 것 같네.",FALSE
Bob-Main01-004,혼자선 감당이 안 돼서 그런데… 자네가 좀 처리해줄 수 있겠나?,FALSE
Bob-Main01-005,"녀석들을 열 마리만 쫓아내 주면, 내가 사례를 하지.",TRUE
Bob-Main02-001,"마법사 양반, 혹시 요즘 마을 근처 숲속을 다녀봤나? \n밤마다 이상한 소리가 들리더니, 이제는 ‘크리쳐’라는 괴물들이 밭까지 내려오고 있어.",FALSE
Bob-Main02-002,"처음엔 짐승인 줄 알았지. 그런데 녀석들 눈이 붉게 빛나고, 발자국이 사람보다 크더군. \n지난밤엔 내 아들놈이 그 소리에 놀라 밖에 나갔다가, 간신히 도망쳐 들어왔지 뭐겠나.",FALSE
Bob-Main02-003,이대로 두면 농사고 뭐고 다 끝장이야. 이 마을은 그 크리쳐들에게 먹히고 말겠지. \n듣자 하니 자네는 불꽃의 마법을 다룬다 들었네. 그 힘으로 녀석들을 쫓아낼 수 있겠나?,FALSE
Bob-Main02-004,"숲 가장자리, 오래된 제단 근처에 녀석들이 모인다는 소문이 있어. 거길 확인해주게. \n성공하면 이 마을 사람 모두가 자네 이름을 잊지 않을 걸세. 물론, 대가도 준비해두었지.",TRUE
